,0
2699,195
2700,201
2701,206
2702,208
2703,209
2704,209
2705,208
2706,207
2707,204
2708,200
2709,196
2710,191
2711,183
2712,175
2713,156
2714,26
2715,49
2716,60
2717,68
2718,74
2719,80
2720,83
2721,85
2722,86
2723,87
2724,86
2725,84
2726,82
2727,78
2728,71
2729,64
2730,52
2731,33
2732,149
2733,173
2734,183
2735,191
2736,195
2737,198
2738,201
2739,202
2740,203
2741,202
2742,200
2743,197
2744,193
2745,187
2746,179
2747,171
2748,164
2749,161
2750,161
2751,164
2752,168
2753,170
2754,167
2755,155
2756,21
2757,47
2758,59
2759,67
2760,71
2761,74
2762,75
2763,74
2764,70
2765,62
2766,46
2767,144
2768,178
2769,192
2770,198
2771,203
2772,206
2773,208
2774,208
2775,208
2776,208
2777,206
2778,204
2779,200
2780,197
2781,194
2782,187
2783,176
2784,140
2785,44
2786,60
2787,68
2788,75
2789,81
2790,83
2791,86
2792,87
2793,87
2794,86
2795,85
2796,82
2797,78
2798,72
2799,65
2800,54
2801,36
2802,151
2803,177
2804,187
2805,194
2806,198
2807,201
2808,203
2809,204
2810,203
2811,201
2812,197
2813,193
2814,186
2815,177
2816,164
2817,147
2818,130
2819,131
2820,145
2821,156
2822,162
2823,162
2824,155
2825,5
2826,37
2827,52
2828,62
2829,67
2830,71
2831,73
2832,72
2833,70
2834,64
2835,51
2836,13
2837,175
2838,190
2839,197
2840,202
2841,206
2842,208
2843,209
2844,209
2845,208
2846,208
2847,205
2848,203
2849,200
2850,197
2851,192
2852,181
2853,156
2854,40
2855,59
2856,69
2857,76
2858,81
2859,84
2860,87
2861,88
2862,88
2863,86
2864,84
2865,81
2866,77
2867,70
2868,63
2869,50
2870,24
2871,163
2872,180
2873,190
2874,195
2875,199
2876,202
2877,203
2878,203
2879,201
2880,198
2881,195
2882,189
2883,180
2884,170
2885,157
2886,142
2887,128
2888,2
2889,129
2890,131
2891,4
2892,22
2893,36
2894,48
2895,55
2896,62
2897,66
2898,68
2899,68
2900,67
2901,63
2902,52
2903,30
2904,165
2905,184
2906,194
2907,199
2908,203
2909,206
2910,207
2911,207
2912,206
2913,205
2914,203
2915,201
2916,199
2917,196
2918,193
2919,185
2920,170
2921,23
2922,53
2923,66
2924,73
2925,80
2926,83
2927,85
2928,86
2929,86
2930,85
2931,82
2932,79
2933,73
2934,67
2935,58
2936,46
2937,19
2938,160
2939,176
2940,184
2941,191
2942,195
2943,197
2944,199
2945,199
2946,198
2947,196
2948,194
2949,189
2950,181
2951,173
2952,162
2953,146
2954,5
2955,20
2956,28
2957,35
2958,41
2959,49
2960,54
2961,59
2962,64
2963,67
2964,68
2965,67
2966,65
2967,57
2968,40
2969,154
2970,182
2971,194
2972,200
2973,205
2974,208
2975,208
2976,208
2977,207
2978,204
2979,201
2980,198
2981,196
2982,193
2983,189
2984,182
2985,169
2986,17
2987,50
2988,64
2989,72
2990,79
2991,83
2992,85
2993,86
2994,86
2995,84
2996,81
